Signo,Decanato,Ejercicio_Bestial,Frase_Clave
Aries,1,Pulso animal (contracción breve desde relajación),"El primer latido abre camino, el cuerpo reacciona antes que la mente."
Aries,2,Caminar erguido con mirada periférica,La chispa se sostiene: presencia es poder.
Aries,3,"Espejo en pareja, armonía en movimiento",El fuego se comparte y la tensión encuentra placer en el otro.
Tauro,1,"Respiración abdominal lenta, pies firmes",El cuerpo enraizado recuerda que la paciencia nutre.
Tauro,2,Sentir vibración en la piel y sonidos internos,"La materia vibra, y en cada roce hay sustento."
Tauro,3,Presión sostenida contra pared o suelo,Lo sólido se entrena en el esfuerzo constante.
Géminis,1,Movimientos rápidos de manos/ojos,"Cada duda es danza, cada palabra un filo."
Géminis,2,Juego de alternar ritmo (rápido/lento),"El cuerpo aprende en los extremos, la mente se adapta."
Géminis,3,Microdescargas con respiración entrecortada,Morir a un pensamiento para que nazca otro.
Cáncer,1,Ondulación de torso como agua,Las emociones abrazan como olas suaves.
Cáncer,2,Vibración compartida grupal,Celebrar juntos también es defensa.
Cáncer,3,Meditación de respiración en el vientre,"En la quietud, la marea interna se calma."
Leo,1,Rugido + golpe breve al aire,"El rugido es vitalidad, no violencia: es afirmarse vivo."
Leo,2,"Movimientos expansivos, brazos abiertos",La victoria es vibrar sin miedo a mostrarte.
Leo,3,Saltos súbitos con exhalación fuerte,"La defensa es ataque al vacío, firme y espontáneo."
Virgo,1,Micromovimientos de manos (detalles),"Lo pequeño guarda lo sagrado, la vibración está en el mínimo gesto."
Virgo,2,"Conciencia de órganos internos (pulso del corazón, hígado)",La perfección es sentir que cada órgano es antena.
Virgo,3,Escritura consciente de diario vibracional,Nombrar lo sentido es darle forma al misterio.
Libra,1,Ejercicio espejo en pareja,"El equilibrio no se piensa, se vibra con el otro."
Libra,2,Respiración compartida (sintonía de ritmos),"La justicia duele, pero libera lo que no sirve."
Libra,3,"Pausa activa, quietud atenta",El descanso es también disciplina del guerrero.
Escorpio,1,Espasmo instintivo con exhalación fuerte,Soltar es renacer: el espasmo limpia la sombra.
Escorpio,2,Memoria corporal → repetir movimiento espontáneo,Recordar en el cuerpo es curar lo enterrado.
Escorpio,3,Visualización vibratoria con ojos semicerrados,El deseo es laberinto: elegir es transformarse.
Sagitario,1,Saltos o desplazamientos súbitos,Expandirse no es correr: es saltar con sentido.
Sagitario,2,Sostener tensión breve y soltar,La resistencia enseña que la fe se entrena.
Sagitario,3,"Carga simbólica (mochila, peso breve)",La carga es maestra si se lleva con conciencia.
Capricornio,1,Contracción sostenida con dirección (empujar pared),El esfuerzo no es prisión: es geometría de disciplina.
Capricornio,2,"Coordinación de tres movimientos (pierna, brazo, torso)",Construir es sincronizar fuerzas en vibración.
Capricornio,3,"Respiración contenida, ahorro energético",Guardar no es miedo: es semilla de lo que viene.
Acuario,1,Movimientos espontáneos de brazos libres,Inventar forma propia es liberar energía colectiva.
Acuario,2,Caminar con variación de ritmo,El viaje mental se vuelve físico en cada paso consciente.
Acuario,3,Movimientos sigilosos en silencio,La estrategia es vibrar sin ser visto.
Piscis,1,Meditación sensorial (escuchar vibraciones sutiles),Soltar lo viejo abre al océano de intuición.
Piscis,2,Ondulación completa del cuerpo (ola),La abundancia fluye cuando no resistís el mar interno.
Piscis,3,Vibración grupal en círculo,El alma se funde en la comunidad: todos vibran en uno.
