Signo,Grados,Carta
Aries,0–9,2 de Bastos
Aries,10–19,3 de Bastos
Aries,20–29,4 de Bastos
Tauro,0–9,5 de Oros
Tauro,10–19,6 de Oros
Tauro,20–29,7 de Oros
Géminis,0–9,8 de Espadas
Géminis,10–19,9 de Espadas
Géminis,20–29,10 de Espadas
Cáncer,0–9,2 de Copas
Cáncer,10–19,3 de Copas
Cáncer,20–29,4 de Copas
Leo,0–9,5 de Bastos
Leo,10–19,6 de Bastos
Leo,20–29,7 de Bastos
Virgo,0–9,8 de Oros
Virgo,10–19,9 de Oros
Virgo,20–29,10 de Oros
Libra,0–9,2 de Espadas
Libra,10–19,3 de Espadas
Libra,20–29,4 de Espadas
Escorpio,0–9,5 de Copas
Escorpio,10–19,6 de Copas
Escorpio,20–29,7 de Copas
Sagitario,0–9,8 de Bastos
Sagitario,10–19,9 de Bastos
Sagitario,20–29,10 de Bastos
Capricornio,0–9,2 de Oros
Capricornio,10–19,3 de Oros
Capricornio,20–29,4 de Oros
Acuario,0–9,5 de Espadas
Acuario,10–19,6 de Espadas
Acuario,20–29,7 de Espadas
Piscis,0–9,8 de Copas
Piscis,10–19,9 de Copas
Piscis,20–29,10 de Copas
