section,subsection,text
PROPÓSITO,,"Este manual define el tono, estilo y estructura de las lecturas del Oráculo Astro‑Tarot para narraciones claras, simbólicas e inspiradoras, fáciles de comprender por todo público."
PROPÓSITO,,"El objetivo es llevar la sabiduría del Tarot y la Astrología en forma de relato: un guion que pueda ser escuchado, sentido y recordado."
PRINCIPIOS,1,"La Palabra es el centro: importa cómo se dice, no cuánta data hay."
PRINCIPIOS,2,Sencillez con profundidad: claridad sin perder potencia arquetípica.
PRINCIPIOS,3,Imágenes vivas: metáforas y escenas claras.
PRINCIPIOS,4,Narrativa progresiva: cada nivel abre una capa más.
PRINCIPIOS,5,Lenguaje universal: entendible para iniciados y principiantes.
TONO,Nivel 1 – Constelación,Épico y mítico; presentación de personajes arquetípicos.
TONO,Nivel 2 – Cosmos,Cercano y práctico; escenas de vida cotidiana.
TONO,Nivel 3 – Séptimo Sentido,Poético y profundo; viaje interior y espiritual.
ESTRUCTURA,12 Pilares,"Sol, Luna, Mercurio, Venus, Marte, Júpiter, Saturno, Urano, Neptuno, Plutón, Ascendente, Medio Cielo."
NIVEL 1,Cartas,Arcano Mayor del planeta/punto; Arcano Mayor del signo; Carta de la Corte del signo.
NIVEL 1,Narrativa,Presentación arquetípica con tono mítico.
NIVEL 2,Cartas,As de la casa; Carta menor del decanato.
NIVEL 2,Narrativa,Manifestación en la vida cotidiana (escenas concretas).
NIVEL 3,Cartas,Carta objetiva del aspecto (por offset); Carta subjetiva del planeta en aspecto.
NIVEL 3,Narrativa,"Proceso interno, espiritual; integración de tensiones."
REGLAS,No repetir,Nunca repetir cartas entre niveles de un mismo pilar.
CORRESPONDENCIAS,Fuentes,"Golden Dawn/Qabalah; Astrología (signos, casas, decanatos, aspectos); Tarot clásico (mayores, menores, cortesanas)."
CORRESPONDENCIAS,Estilo,Traducir la técnica a lenguaje poético y simple (sin tecnicismos pesados).
EJEMPLOS,Nivel 1,"“El Sol aparece como el héroe que ilumina, el fuego creador que abre caminos con valentía.”"
EJEMPLOS,Nivel 2,"“En la vida diaria, este Sol da alegría, energía vital y capacidad de inspirar a otros.”"
EJEMPLOS,Nivel 3,"“En lo interno, este Sol enseña que la verdadera luz surge cuando se atraviesan las sombras del orgullo y se aprende a brillar con humildad.”"
OBJETIVO FINAL,,Que cada lectura sea cuento iniciático + película arquetípica + manual de autoconocimiento en lenguaje sencillo.
OBJETIVO FINAL,,"El consultante debe sentirse incluido, elevado y guiado por la historia."
